,next_stop_distance,total_waiting_time,wifi_count,honks,rsi,zone_highway,zone_market_place,zone_normal_city,time_level_1,time_level_2,time_level_3,time_level_4,Population_density_dense,Population_density_medium,Population_density_sparse,Weekend/day_Week-day,Weekend/day_Week-end,Turn
1643,0.005909615624042352,0.001584786053882726,0.0,0.008968609865470852,0.6043965466638731,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0
1644,0.004149762898088892,0.15213946117274169,0.0,0.3901345291479821,0.4969545551615748,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0
1645,0.031214837994721044,0.001584786053882726,0.014584542557244076,0.0033572788547318205,0.5220673594132422,0.0,1.0,0.0,0.0,0.625663407697402,0.0,0.37433659230259797,0.0,1.0,0.0,0.37433659230259797,0.625663407697402,1
1646,0.3044264099749206,0.01265225112494476,0.06660746337484388,0.03261873946137137,0.5579853473630481,0.0,1.0,0.0,0.0,0.0,0.8547957799771632,0.14520422002283684,0.0,1.0,0.0,1.0,0.0,1
1647,0.03639728444086842,0.0041886755487263085,0.0,0.011051934559952691,0.5289489159812525,0.0,0.17847286437684995,0.82152713562315,0.82152713562315,0.17847286437684995,0.0,0.0,0.0,0.17847286437684995,0.82152713562315,0.0,1.0,1
1648,0.08056123081860446,0.21711568938193346,0.0,0.24663677130044842,0.20040196077016104,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0
1649,0.07551819585389288,0.001584786053882726,0.025974025974025976,0.008968609865470852,0.5669022321886573,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1
1650,0.25783541952083133,0.003152300494825809,0.04710007677309932,0.002956955492481572,0.49971190102567015,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1
1651,0.1048553134326018,0.008450450468604716,0.4906014587998195,0.0,0.47322547773820417,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1
1652,0.03194307068459999,0.014575516884404588,0.07270165872780585,0.01792739273563054,0.5352391302874276,0.6002191419954389,0.0,0.3997808580045611,0.0,0.6002191419954389,0.0,0.3997808580045611,0.0,0.3997808580045611,0.6002191419954389,1.0,0.0,1
1653,0.0036695358161084298,0.005788445512499322,0.17239134068286674,0.0010388367163316242,0.5270275007562139,0.8841697061290239,0.0,0.1158302938709761,0.0,0.8841697061290239,0.0,0.1158302938709761,0.0,0.1158302938709761,0.8841697061290239,1.0,0.0,1
1654,0.10478486233757815,0.003169572107765452,0.0,0.0,0.5212886864170707,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0
1655,0.0017100221503068315,0.001584786053882726,0.0,0.0,0.47728712089470815,0.07514088323468815,0.0,0.9248591167653119,0.0,0.0,0.9248591167653119,0.07514088323468815,0.9248591167653119,0.07514088323468815,0.0,0.07514088323468815,0.9248591167653119,1
1656,0.11142941164953589,0.006339144215530904,0.09090909090909091,0.03139013452914798,0.49010200977122503,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0
1657,0.007110762077823913,0.07713244553793654,0.10304044969983885,0.0,0.5703164544146575,1.0,0.0,0.0,0.9670573134437953,0.03294268655620469,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1
1658,0.14339558374853686,0.004754358161648178,0.15584415584415584,0.013452914798206279,0.5063439745182616,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0
1659,0.0035605548576352454,0.011678024108411334,0.01702142810028916,0.0,0.4888623463550879,1.0,0.0,0.0,0.43688332124075513,0.5631166787592449,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1
1660,0.6713843856654091,0.001584786053882726,0.0,0.0,0.48485085597114447,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0
1661,0.044109690650948344,0.09615412124398291,0.09090909090909091,0.047751536042538546,0.29499269274819007,0.0,1.0,0.0,0.0,0.8434030509193221,0.0,0.1565969490806779,0.0,1.0,0.0,0.1565969490806779,0.8434030509193221,1
1662,0.1046639451508052,0.0021500220959788587,0.009263998508121036,0.009596339261775602,0.4697729992846028,0.0,0.3566639425626599,0.6433360574373401,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1
1663,0.1599899774839071,0.002657131858306842,0.0,0.0,0.5766749738531861,0.0,1.0,0.0,0.0,0.6766502025916173,0.0,0.32334979740838266,0.0,1.0,0.0,1.0,0.0,1
1664,0.0733996501254038,0.001584786053882726,0.0,0.008968609865470852,0.5841312781434682,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0
1665,0.011078839051734832,0.04595879556259905,0.06493506493506494,0.053811659192825115,0.5087311824879688,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0
1666,0.11142941164953589,0.02377179080824089,0.03896103896103896,0.0,0.5222197046820127,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0
1667,0.14313526229393114,0.003803693470139037,0.023384254655322022,0.0,0.509427390763322,0.0,0.0,1.0,0.7999347101711338,0.0,0.0,0.20006528982886618,0.0,0.20006528982886618,0.7999347101711338,0.20006528982886618,0.7999347101711338,1
1668,0.7432591368040725,0.004842172440520266,0.004317725452074343,0.0196765725102153,0.543499740344489,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1
1669,0.024785971263227805,0.004159501037329303,0.24358944438978933,0.0,0.4668830577359298,0.0,0.0,1.0,0.3753548454452099,0.6246451545547901,0.0,0.0,0.0,0.6246451545547901,0.3753548454452099,0.0,1.0,1
1670,0.006998480078690239,0.001584786053882726,0.0,0.0,0.7424844665230018,0.0,0.05130593934557315,0.9486940606544269,0.05130593934557315,0.9486940606544269,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1
1671,0.008915205337968524,0.003169572107765452,0.0,0.03139013452914798,0.5871016094160478,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0
1672,0.12547362220104227,0.18744514253400363,0.09226455337350943,0.1755138901349086,0.4537644274529455,0.0,1.0,0.0,0.9478146951198873,0.0,0.0,0.05218530488011275,0.0,1.0,0.0,0.9478146951198873,0.05218530488011275,1
1673,0.0040811879379714115,0.002504095639235893,0.0,0.0,0.47929352435457445,0.2900421741789242,0.7099578258210758,0.0,0.0,0.2900421741789242,0.0,0.7099578258210758,0.0,0.7099578258210758,0.2900421741789242,1.0,0.0,1
1674,0.002244494537008793,0.0034557731700784284,0.0,0.0,0.5224860035617299,0.4097035648402557,0.5902964351597443,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1
1675,0.03664057700404801,0.008982734828132628,0.02722556812807845,0.01943521452141634,0.5331328880663755,0.0,0.0,1.0,0.8094210231034509,0.0,0.0,0.19057897689654912,0.0,0.19057897689654912,0.8094210231034509,0.19057897689654912,0.8094210231034509,1
1676,0.12411172720974696,0.01584786053882726,0.09090909090909091,0.0,0.537949830849348,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0
1677,0.8381544219407475,0.025356576862123614,0.19480519480519481,0.001973520875142333,0.49529987315116664,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1
