,next_stop_distance,total_waiting_time,wifi_count,honks,rsi,zone_highway,zone_market_place,zone_normal_city,time_level_1,time_level_2,time_level_3,time_level_4,Population_density_dense,Population_density_medium,Population_density_sparse,Weekend/day_Week-day,Weekend/day_Week-end,bus_stop
0,0.07189628365949985,0.010373570496805125,0.10767344679614538,0.005217137278981045,0.5768437232611962,0.0,0.0,1.0,0.0,0.0,0.7091445966968067,0.29085540330319326,0.7091445966968067,0.29085540330319326,0.0,0.7091445966968067,0.29085540330319326,1
1,0.06302751954662955,0.001584786053882726,0.1168831168831169,0.0,0.4679057843155132,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1
2,0.03929808496638016,0.001584786053882726,0.0,0.004484304932735426,0.6542555673088375,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0
3,0.03307629877042726,0.011093502377179081,0.4285714285714286,0.0,0.5408027506192732,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0
4,0.12800249406954692,0.001584786053882726,0.0,0.008968609865470852,0.5818206514339246,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1
5,0.19127526241143933,0.0025915230636518387,0.0,0.0,0.5315033694684367,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1
6,0.10798483294070843,0.003169572107765452,0.0,0.008968609865470852,0.3686994866002004,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0
7,0.011363085801462858,0.07923930269413629,0.12987012987012989,0.0,0.5740508848661936,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1
8,0.10679890220287616,0.13787638668779714,0.1168831168831169,0.34977578475336324,0.6146491001636738,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0
9,0.05504249084472438,0.006339144215530904,0.0,0.026905829596412557,0.45865689112262303,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1
10,0.11194211961487749,0.02377179080824089,0.03896103896103896,0.08520179372197309,0.5545638164628729,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0
11,0.092969866139937,0.001584786053882726,0.0,0.008968609865470852,0.6009603194894805,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1
12,0.2187805384775513,0.004754358161648178,0.0,0.0,0.5584960091910198,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1
13,0.09185703099386719,0.004754358161648178,0.5120443467342982,0.0,0.5690760628925521,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1
14,0.041311666416657684,0.003251474967622764,0.047803668389543814,0.004252552894305095,0.5366487511904495,0.0,0.47415964771501806,0.5258403522849819,0.0,0.0,0.5258403522849819,0.47415964771501806,0.5258403522849819,0.47415964771501806,0.0,0.5258403522849819,0.47415964771501806,1
15,0.026014202453162792,0.00792393026941363,0.19480519480519481,0.0,0.5029720098254152,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1
16,0.11132932763139106,0.003169572107765452,0.0,0.0,0.5382280680529505,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1
17,0.06815539658484579,0.00387536488595442,0.0,0.005727903042517401,0.5615578318378336,0.0,0.0,1.0,0.2773223784813805,0.0,0.0,0.7226776215186195,0.0,0.7226776215186195,0.2773223784813805,0.2773223784813805,0.7226776215186195,1
18,0.005349396528393873,0.001584786053882726,0.0,0.0,0.533017906980356,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0
19,0.0715798527692216,0.001584786053882726,0.0,0.0,0.6926581061287824,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1
20,0.07262803261793765,0.022187004754358162,0.07792207792207792,0.03139013452914798,0.5329508827874655,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1
21,0.1332008654443709,0.001584786053882726,0.0,0.004484304932735426,0.4919686485529604,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0
22,0.046062394456132874,0.004734516564873987,0.10405870191642227,0.0355375771955736,0.5059590981610642,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1
23,0.01127002507350579,0.00792393026941363,0.012987012987012988,0.02242152466367713,0.5311040445125835,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0
24,0.06778525732848953,0.001584786053882726,0.07792207792207792,0.0,0.5663121473804423,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
25,0.04769675995366971,0.004754358161648178,0.1038961038961039,0.026905829596412557,0.4976923626252653,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1
26,0.07520929547412486,0.001584786053882726,0.0,0.0,0.4138100196339312,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0
