,next_stop_distance,total_waiting_time,wifi_count,honks,rsi,zone_highway,zone_market_place,zone_normal_city,time_level_1,time_level_2,time_level_3,time_level_4,Population_density_dense,Population_density_medium,Population_density_sparse,Weekend/day_Week-day,Weekend/day_Week-end,bus_stop
1243,0.1931367308689789,0.001584786053882726,0.0,0.0,0.6085914202168227,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0
1244,0.43769300986792886,0.0,0.0,0.0,0.528463827964868,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0
1245,0.2856390020694632,0.001584786053882726,0.0,0.0,0.47658331893312245,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0
1246,0.06293243012216554,0.05229793977812995,0.2077922077922078,0.0,0.5413354362396627,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0
1247,0.12007204872008712,0.001584786053882726,0.0,0.005500600957818248,0.4926907695055523,1.0,0.0,0.0,0.22663401359346913,0.0,0.0,0.7733659864065309,0.0,0.7733659864065309,0.22663401359346913,0.7733659864065309,0.22663401359346913,1
1248,0.08705753669536752,0.03169572107765452,0.4025974025974026,0.0,0.5348843532184494,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1
1249,0.004724371551068623,0.15213946117274169,0.0,0.3901345291479821,0.5310090322049984,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1
1250,0.30790682230931665,0.003169572107765452,0.0,0.013452914798206279,0.5827027430725399,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0
1251,0.5503375101508375,0.003169572107765452,0.012987012987012988,0.017937219730941704,0.5317251473570459,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0
1252,0.020892393990370836,0.003169572107765452,0.05194805194805195,0.0,0.535787005276853,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1
1253,0.0022878591868417198,0.003169572107765452,0.0,0.0,0.5374488432646842,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0
1254,0.0036019223283263874,0.003169572107765452,0.5844155844155845,0.013452914798206279,0.5153342869063626,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0
1255,0.47131810797982454,0.001584786053882726,0.0002294259506675284,0.004464500226231615,0.4861286817675224,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.004416449550349921,0.9955835504496501,1
1256,0.026383917464226914,0.3486529318541997,0.18181818181818182,0.9551569506726457,0.5858015793247137,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1
