,next_stop_distance,total_waiting_time,wifi_count,honks,rsi,zone_highway,zone_market_place,zone_normal_city,time_level_1,time_level_2,time_level_3,time_level_4,Population_density_dense,Population_density_medium,Population_density_sparse,Weekend/day_Week-day,Weekend/day_Week-end,Signal
936,0.02796778114799489,0.001584786053882726,0.0,0.0,0.5254641441782248,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0
937,0.008412751430229844,0.03328050713153724,0.025974025974025976,0.0,0.5272207917462117,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0
938,0.5426524190904639,0.01584786053882726,0.14285714285714288,0.0,0.5323451498425348,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1
939,0.000421814243671873,0.001584786053882726,0.0,0.0,0.5069532169073574,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1
940,0.15161829688232828,0.001584786053882726,0.0,0.0,0.5373264379549406,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0
941,0.9431367361392253,0.001584786053882726,0.0,0.008968609865470852,0.5364882860893684,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0
942,0.12941792033937444,0.012678288431061807,0.03896103896103896,0.0,0.5430035425422393,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
943,0.12217046003916356,0.001584786053882726,0.0,0.008968609865470852,0.5906397681151084,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1
944,0.07947303066708084,0.001584786053882726,0.0,0.0,0.37931956311281234,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0
945,0.018252733030049623,0.001584786053882726,0.0,0.0,0.4326977848816935,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1
946,0.12262149892209522,0.004754358161648178,0.1168831168831169,0.0,0.5373133734700661,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0
