,next_stop_distance,total_waiting_time,wifi_count,honks,rsi,zone_highway,zone_market_place,zone_normal_city,time_level_1,time_level_2,time_level_3,time_level_4,Population_density_dense,Population_density_medium,Population_density_sparse,Weekend/day_Week-day,Weekend/day_Week-end,Signal
1489,0.5128327215966525,0.03172551928420144,0.047111954426982613,0.037806945169532945,0.5503113090784326,0.0,0.0,1.0,0.0,0.0,0.8430948772805847,0.15690512271941526,0.8430948772805847,0.15690512271941526,0.0,1.0,0.0,1
1490,0.04776600970142373,0.011093502377179081,0.07792207792207792,0.0,0.4234476009142894,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0
1491,0.08005379794905021,0.011829930887081105,0.16193415376997142,0.0008930552013097582,0.5359276980862993,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.06638376996402529,0.9336162300359747,1
1492,0.27585848696014764,0.003169572107765452,0.0,0.0,0.5509614266194369,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0
1493,0.10535409665123463,0.011093502377179081,0.5194805194805195,0.04035874439461883,0.378697967408084,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0
1494,0.10774408657255681,0.004754358161648178,0.06493506493506494,0.0,0.4519062348557926,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0
1495,0.08497901926673179,0.001584786053882726,0.0,0.013452914798206279,0.5890824294615277,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0
1496,0.08506637939751592,0.001584786053882726,0.0,0.0,0.43375886969919003,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0
1497,0.004503318346881876,0.001584786053882726,0.12987012987012989,0.0,0.52801887042683,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
1498,0.015032483806987604,0.012678288431061807,0.09090909090909091,0.04932735426008968,0.5421170243782744,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0
1499,0.12187331674345801,0.008562527798268438,0.04681081248131268,0.0,0.5105460715590233,0.40049250678456394,0.0,0.5995074932154361,0.0,1.0,0.0,0.0,0.0,0.5995074932154361,0.40049250678456394,1.0,0.0,1
1500,0.04818456874808077,0.001584786053882726,0.0,0.0,0.5477974794303091,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0
1501,0.03284745839090712,0.001584786053882726,0.0,0.0008531432745585029,0.558777379060447,0.9048745248867269,0.0,0.09512547511327307,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.9048745248867269,0.09512547511327307,1
1502,0.03235925852242838,0.001987065544372311,0.0,0.0,0.5842898682442221,0.7461616415010717,0.0,0.25383835849892833,0.0,0.0,0.25383835849892833,0.7461616415010717,0.25383835849892833,0.7461616415010717,0.0,1.0,0.0,1
1503,0.07222986454575606,0.001584786053882726,0.0,0.0,0.5327937208582929,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0
1504,0.13790786466321908,0.015862103392011984,0.0,0.038154654480845186,0.5642960624737005,0.0,0.0,1.0,0.4995007088689132,0.0,0.0,0.5004992911310868,0.0,0.5004992911310868,0.4995007088689132,0.0,1.0,1
1505,0.06657043375913324,0.001584786053882726,0.0,0.008968609865470852,0.5356340171160161,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0
1506,0.12543899126545324,0.039619651347068144,0.16883116883116883,0.0,0.49092393052596134,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0
1507,0.13770938948991812,0.013189371714976538,0.0,0.03101205540272878,0.5568961946721985,0.0,0.0,1.0,0.5931948026583225,0.0,0.0,0.4068051973416775,0.0,0.4068051973416775,0.5931948026583225,0.0,1.0,1
1508,0.009180869937832955,0.003169572107765452,0.0,0.0,0.578915448737425,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1
1509,0.04214769013476369,0.01901743264659271,0.1038961038961039,0.0,0.5893235571895308,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0
1510,0.05820197754432688,0.005119240698641656,0.30459237938497763,0.0036136461118838462,0.5587141818975163,0.0,0.0,1.0,0.0,0.0,0.11512044042144254,0.8848795595785575,0.11512044042144254,0.8848795595785575,0.0,1.0,0.0,1
1511,0.5435723434869933,0.001584786053882726,0.0,0.004112114464722059,0.4499970341227438,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1
1512,0.1004246129969308,0.02694136291600634,0.37662337662337664,0.0,0.5558463219974907,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1
1513,0.12289150145369863,0.0427892234548336,0.07792207792207792,0.0,0.5337834259860169,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0
1514,0.26400346728877333,0.001584786053882726,0.0,0.0013267368841063556,0.5205070802269263,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1
1515,0.0718601507476692,0.028526148969889066,0.07792207792207792,0.026905829596412557,0.5612679126923296,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1516,0.022056560346268895,0.001584786053882726,0.0,0.0,0.7500044671593299,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0
1517,0.9171172360977788,0.002735316150577364,0.014234571895360176,0.0032555358341449176,0.5176188455587478,0.0,0.0,1.0,0.0,0.2740155089856834,0.7259844910143166,0.0,0.7259844910143166,0.2740155089856834,0.0,0.2740155089856834,0.7259844910143166,1
1518,0.003045568653370449,0.05383356742846851,0.1074449897984062,0.0,0.5198064482376075,1.0,0.0,0.0,0.24224526184090744,0.0,0.0,0.7577547381590926,0.0,0.7577547381590926,0.24224526184090744,1.0,0.0,1
